id,name,artist,album,release_date,duration_ms,genres,popularity,explicit,description,Unnamed: 10,tagged_description
2ZzZ2qwZBWlDKs420hhloc,Maand,"Bayaan, Hasan Raheem, Rovalio",Safar,2024-12-12,185000,"desi, desi hip hop, desi pop, hindi indie, indian indie",79,False,"A laid-back desi-pop groove with mellow rap verses and smooth vocals. Warm guitar licks and a head-nodding beat lend moderate danceability, while lyrics about cyclical love tug at the heart. Feels reflective and subtly uplifting—perfect for late-night drives or chilled gatherings.",,"2ZzZ2qwZBWlDKs420hhloc A laid-back desi-pop groove with mellow rap verses and smooth vocals. Warm guitar licks and a head-nodding beat lend moderate danceability, while lyrics about cyclical love tug at the heart. Feels reflective and subtly uplifting—perfect for late-night drives or chilled gatherings."
2O0sJTtjLKvMhd7cWyNdbe,Memories,"Hasan Raheem, Justin Bibis, Shehryar Khan",Memories,2025-05-23,158333,"desi, desi hip hop, desi pop, hindi indie, indian indie",49,False,"Dreamy indie-pop with echoey guitars and hushed vocals. Gentle pulse invites a soft sway more than a full-on dance, evoking bittersweet nostalgia. Lyrics reminisce on past moments, stirring a warm ache in the chest. Ideal for introspective evenings or slow-motion montages.",,"2O0sJTtjLKvMhd7cWyNdbe Dreamy indie-pop with echoey guitars and hushed vocals. Gentle pulse invites a soft sway more than a full-on dance, evoking bittersweet nostalgia. Lyrics reminisce on past moments, stirring a warm ache in the chest. Ideal for introspective evenings or slow-motion montages."
5hM5arv9KDbCHS0k9uqwjr,Borderline,Tame Impala,The Slow Rush,2020-02-14,237800,"indie, neo-psychedelic",85,False,"Psychedelic synth-pop layered over a steady disco-inspired beat. High danceability meets introspective lyrics on instability and longing. The lush production and Kevin Parker’s hazy vocals create an otherworldly euphoria—makes you move and muse simultaneously, as if caught between a dance floor and a dream.",,"5hM5arv9KDbCHS0k9uqwjr Psychedelic synth-pop layered over a steady disco-inspired beat. High danceability meets introspective lyrics on instability and longing. The lush production and Kevin Parker’s hazy vocals create an otherworldly euphoria—makes you move and muse simultaneously, as if caught between a dance floor and a dream."
1VVCIQHFamc5Q7uDsqDkfN,Dil Ruba,"Hasan Raheem, Annural Khalid, Velo Sound Station",Dil Ruba,2025-04-17,260374,"desi, desi hip hop, desi pop, hindi indie, indian indie",53,False,"Upbeat desi-hip-hop fused with pop sensibilities. Energetic percussion and playful melodies spark head-bops and foot taps. Lyrics flirt with infatuation, giving a light, flirtatious vibe. Feels like a sunlit afternoon in the city—fun, carefree, and just danceable enough to lift your mood.",,"1VVCIQHFamc5Q7uDsqDkfN Upbeat desi-hip-hop fused with pop sensibilities. Energetic percussion and playful melodies spark head-bops and foot taps. Lyrics flirt with infatuation, giving a light, flirtatious vibe. Feels like a sunlit afternoon in the city—fun, carefree, and just danceable enough to lift your mood."
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",2024-04-05,218423,,94,False,"Bright alt-pop with glittery synths and an anthemic chorus. Infectious hooks propel moderate dance moves while lyrics swing between self-assurance and vulnerability. The track feels like high-school prom night—nostalgic, buoyant, and slightly bittersweet, leaving you grinning and maybe shedding a joyful tear.",,"0WbMK4wrZ1wFSty9F7FCgu Bright alt-pop with glittery synths and an anthemic chorus. Infectious hooks propel moderate dance moves while lyrics swing between self-assurance and vulnerability. The track feels like high-school prom night—nostalgic, buoyant, and slightly bittersweet, leaving you grinning and maybe shedding a joyful tear."
2Co0IjcLTSHMtodwD4gzfg,I Bet on Losing Dogs,Mitski,Puberty 2,2016-06-17,170240,,84,False,"A tender indie ballad with sparse guitar and Mitski’s fragile vocals. Low danceability but high emotional resonance, exploring heartbreak’s acceptance and bittersweet vulnerability. Feels like staring at fading polaroids—quietly heart-wrenching and perfect for late-night reflection.",,"2Co0IjcLTSHMtodwD4gzfg A tender indie ballad with sparse guitar and Mitski’s fragile vocals. Low danceability but high emotional resonance, exploring heartbreak’s acceptance and bittersweet vulnerability. Feels like staring at fading polaroids—quietly heart-wrenching and perfect for late-night reflection."
4cAgkb0ifwn0FSHGXnr4F6,New Slaves,Kanye West,Yeezus,2013-06-18,256093,rap,67,True,"A hard-hitting industrial hip-hop anthem driven by pounding drums and distorted chants. Low danceability yet irresistibly intense, confronting consumerism and oppression with raw aggression. Feels confrontational and urgent—making you nod defiantly in the face of injustice.",,"4cAgkb0ifwn0FSHGXnr4F6 A hard-hitting industrial hip-hop anthem driven by pounding drums and distorted chants. Low danceability yet irresistibly intense, confronting consumerism and oppression with raw aggression. Feels confrontational and urgent—making you nod defiantly in the face of injustice."
0Cl1ksRoviWxYINHz0DBiQ,Like Him (feat. Lola Young),"Tyler, The Creator, Lola Young",CHROMAKOPIA,2024-10-25,278015,,59,False,"A breezy alt-pop fusion of mellow horns and laid-back beats. Moderate danceability invites a gentle sway as lyrics muse on admiration and longing. Feels warm and flirtatious, like a sunlit afternoon stroll with a touch of romantic whimsy.",,"0Cl1ksRoviWxYINHz0DBiQ A breezy alt-pop fusion of mellow horns and laid-back beats. Moderate danceability invites a gentle sway as lyrics muse on admiration and longing. Feels warm and flirtatious, like a sunlit afternoon stroll with a touch of romantic whimsy."
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,210373,,100,False,"Atmospheric dark pop with sparse synths and intimate, breathy vocals. Very low danceability but heavy tension—explores loyalty and identity through haunting melody. Feels introspective and shadowy, pulling you into a delicate world where trust hangs by a thread.",,"6dOtVTDdiauQNBQEDOtlAB Atmospheric dark pop with sparse synths and intimate, breathy vocals. Very low danceability but heavy tension—explores loyalty and identity through haunting melody. Feels introspective and shadowy, pulling you into a delicate world where trust hangs by a thread."
3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,Mitski,The Land Is Inhospitable and So Are We,2023-09-15,137773,,89,False,"A wistful folk-pop lament carried by gentle guitar and Mitski’s evocative voice. Low danceability but deeply stirring, examining self-sacrifice and unrequited devotion. Feels like confessing secret longings under a quiet moon—heart-aching yet oddly comforting.",,"3vkCueOmm7xQDoJ17W1Pm3 A wistful folk-pop lament carried by gentle guitar and Mitski’s evocative voice. Low danceability but deeply stirring, examining self-sacrifice and unrequited devotion. Feels like confessing secret longings under a quiet moon—heart-aching yet oddly comforting."
